id,label,type
Etudiant_P00278,P00278,Etudiant
Matiere_Philosophie,Philosophie,Matiere
Metier_Expert_en_contentieux_d_affaires_Agent_de_recouvrement,Expert en contentieux d'affaires / Agent de recouvrement,Metier
Parcours_Electromecanique_et_Informatique_Industrielle,Électromécanique et Informatique Industrielle,Parcours
Matiere_Mecanique_Generale,Mécanique Génerale,Matiere
Parcours_Industries_Agroalimentaires,Industries Agroalimentaires,Parcours
Matiere_Management,Management,Matiere
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,"Informatique Multimédia, Technologie de l'Information et de la Communication et Intelligence Artificielle",Parcours
Matiere_Intelligence_Artificielle,Intelligence Artificielle,Matiere
Prerequis_Technique_genie_civil_BTP,Technique génie civil / BTP,Prerequis
Matiere_Elements_finis,Elements finis,Matiere
Matiere,Matière,
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,"Informatique, Statistique Appliquée et Intelligence Artificielle",Parcours
Metier_Data_Scientist_Data_Analyst,Data Scientist / Data Analyst,Metier
Parcours_Tourisme_et_Environnement,Tourisme et Environnement,Parcours
Prerequis_Baccalaureat_serie_C,Baccalauréat série C,Prerequis
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,"Électronique, Systèmes Informatiques et Intelligence Artificielle",Parcours
Matiere_Recherche_Operationnelle,Recherche Opérationnelle,Matiere
Metier_Responsable_de_production_pharmaceutique_Ingenieur_formulation,Responsable de production pharmaceutique / Ingénieur formulation,Metier
Metier,Métier,
Metier_Ingenieur_d_etudes_BTP,Ingénieur d'études BTP,Metier
Matiere_Allemand,Allemand,Matiere
Matiere_Statistiques_appliquees,Statistiques appliquées,Matiere
Matiere_PHP,PHP,Matiere
Etudiant_P01160,P01160,Etudiant
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,"Industries Chimiques, Minières et Pétrolières",Parcours
Metier_Responsable_HSE_Hygiene_Securite_Environnement_industriel,"Responsable HSE (Hygiène, Sécurité, Environnement) industriel",Metier
Matiere_Physiologie_Animale,Physiologie Animale,Matiere
Matiere_Cartographie,Cartographie,Matiere
Matiere_Comptabilite_financiere,Comptabilité financière,Matiere
Matiere_Fabrication_Mecanique,Fabrication Mécanique,Matiere
Metier_Auditeur_financier,Auditeur financier,Metier
Prerequis_Baccalaureat_serie_S,Baccalauréat série S,Prerequis
Metier_Consultant_en_management,Consultant en management,Metier
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,Pharmacologie et Industries Pharmaceutiques,Parcours
Matiere_Chimie_analytique,Chimie analytique,Matiere
Matiere_Aeronautique,Aéronautique,Matiere
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,Droit et Techniques Juridiques des Affaires,Parcours
Metier_Juriste_specialise_Foncier_Minier_Douanes,"Juriste spécialisé (Foncier, Minier, Douanes)",Metier
Matiere_Semiologie,Sémiologie,Matiere
Etudiant_P00410,P00410,Etudiant
Matiere_Assainissement,Assainissement,Matiere
Metier_Responsable_suivi_evaluation,Responsable suivi-évaluation,Metier
Parcours_Finances_et_Comptabilite,Finances et Comptabilité,Parcours
Matiere_Analyse_financiere,Analyse financiere,Matiere
Parcours_Commerce_et_Administration_des_Affaires,Commerce et Administration des Affaires,Parcours
Matiere_Gestion_de_projet,Gestion de projet,Matiere
Prerequis_Baccalaureat_serie_TFFI,Baccalauréat série TFFI,Prerequis
Prerequis,Prérequis,
