mention,code_parcours,nom_parcours,niveaux_diplomes,prerequis,matieres_principales,competences_developpees,debouches_professionnels,passerelles_possibles
Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",Licence (Bac+3)|Master (Bac+5),"Baccalauréat Scientifique (C, D, S) ou Technique",Unified Modeling Language|Réseaux de Neurones Artificiels|Informatique Scientifique|HTML/CSS|Base de Données|Algorithme|Pascal|Structure de données|Réseaux informatiques|Langage C|JavaScript|Java|Merise|PHP|Gestion de Projet|Intelligence Artificielle|Codage|Cryptographie|C#|Linux|UI/UX|Algorithme Avancé|SGBDR|GPI|Processus Stochastique|Informatique Décisionnelle|GLCIA|Cybersécurité|Théorie des jeux|Recherche Opérationnelle|Programmation Logique|Informatique Quantique|Systèmes Multi-Agents|Management|Deep Learning|Machine Learning,Conception et modélisation logicielle (UML)|Développement d'architectures orientées IA|Administration de bases de données complexes (SGBDR)|Ingénierie du logiciel et génie logiciel,Ingénieur en génie logiciel|Développeur d'applications|Administrateur de bases de données|Chef de projet informatique|Consultant en systèmes d'information et IA,Passerelle vers d'autres parcours Informatique (ex: IMTICIA) en début de cycle
Informatique et Télécommunications,ESIIA,"Électronique, Systèmes Informatiques et Intelligence Artificielle",Licence (Bac+3)|Master (Bac+5),"Baccalauréat C, D, S, T, F2, F3",Electronique|Structures des ordinateurs|Electricité|Maintenance des Systèmes Electroniques|Maintenance des Systèmes Informatiques|Maintenance des Systèmes Informatiques Hardware|Théorie des Signales|Assembleur|Réseaux de Neurones Artificiels|Automatique|Capteurs|Unified Modeling Language|Géométrie appliquée aux Formes et Images|Microcontroleur|Global System for Mobile Communication|HTML/CSS|Base de Données|Algorithme|Pascal|Structure de données|Réseaux informatiques|Langage C|JavaScript|Java|Merise|PHP|Gestion de Projet|Intelligence Artificielle|Codage|Cryptographie|C#|Linux|UI/UX|Algorithme Avancé|SGBDR|GPI|Processus Stochastique|Informatique Décisionnelle|GLCIA|Cybersécurité|Théorie des jeux|Recherche Opérationnelle|Programmation Logique|Informatique Quantique|Systèmes Multi-Agents|Management|Deep Learning|Machine Learning,Conception de systèmes embarqués et microcontrôleurs|Maintenance et architecture matérielle (Hardware)|Configuration et administration réseaux complexes|Traitement du signal et automatisme,Ingénieur système et réseau|Spécialiste en maintenance électronique|Expert en systèmes embarqués (IoT)|Ingénieur en télécommunications|Architecte Hardware,Passerelle vers EMII (Génie Industriel) sous réserve d'équivalence
Informatique et Télécommunications,IMTICIA,"Informatique Multimédia, Technologie de l'Information et de la Communication et Intelligence Artificielle",Licence (Bac+3)|Master (Bac+5),"Baccalauréat C, D, S, A2",Son|Télécommunication|Travail Audiovisuel|Photo|Ondes et Propagations|Théorie des Signales|Réseaux de Neurones Artificiels|Musique|Publication Assistée par Ordinateur|Informatique Scientifique|HTML/CSS|Base de Données|Algorithme|Pascal|Structure de données|Réseaux informatiques|Langage C|JavaScript|Java|Merise|PHP|Gestion de Projet|Intelligence Artificielle|Codage|Cryptographie|C#|Linux|UI/UX|Algorithme Avancé|SGBDR|GPI|Processus Stochastique|Informatique Décisionnelle|GLCIA|Cybersécurité|Théorie des jeux|Recherche Opérationnelle|Programmation Logique|Informatique Quantique|Systèmes Multi-Agents|Management|Deep Learning|Machine Learning,Production et traitement de contenus audiovisuels|Design d'interfaces UI/UX et multimédia|Gestion des technologies de l'information et communication|Développement web et mobile interactif,Développeur multimédia / Webmaster|Ingénieur en technologies de la communication|Spécialiste en communication digitale|Expert en réseaux de transmission,Passerelle vers IGGLIA
Informatique et Télécommunications,ISAIA,"Informatique, Statistique Appliquée et Intelligence Artificielle",Licence (Bac+3)|Master (Bac+5),"Baccalauréat Scientifique (C, D, S)",Combinatoire et probabilités|Informatique Scientifique|HTML/CSS|Base de Données|Algorithme|Pascal|Structure de données|Statistiques appliquées|Réseaux informatiques|Langage C|JavaScript|Java|Merise|PHP|Gestion de Projet|Intelligence Artificielle|Codage|Cryptographie|C#|Linux|UI/UX|Algorithme Avancé|SGBDR|GPI|Processus Stochastique|Informatique Décisionnelle|GLCIA|Cybersécurité|Théorie des jeux|Recherche Opérationnelle|Programmation Logique|Informatique Quantique|Systèmes Multi-Agents|Management|Deep Learning|Machine Learning,Analyse statistique et modélisation prédictive|Exploitation des algorithmes de Machine Learning et Deep Learning|Mise en uvre de solutions d'Informatique Décisionnelle|Gestion et traitement de données massives (Big Data),Data Scientist / Data Analyst|Ingénieur Machine Learning|Statisticien financier|Responsable de planification stratégique,Passerelle vers IGGLIA
Génie Industriel,EMII,Électromécanique et Informatique Industrielle,Licence (Bac+3)|Master (Bac+5),"Baccalauréat C, D, S, Tech (F1, F2, F3)",Maintenance avion|Moteur à combustion interne|Technologie ferroviaire|Microcontroleur|Vibration|Metallurgie|Management|Electronique de puissance|Elasticité et plasticité|Technologie des froids|Thermodynamique|Automatique|Grafcet|Mécanique appliquée|Aéronautique|Dessin|Géometrie analytique|Ouvrage métallique|Mécanique analytique|Electronique|Fabrication mécanique|Capteurs|Electricité Industrielle|Fabrication Mécanique|Mécanique rationnelle|Résistance des matériaux|Thermodynamique|AUTOCAD|Mécanique Génerale|Electricité|Electronique,"Maintenance industrielle multi-technique (mécanique, électrique)|Conception et pilotage de systèmes automatisés|Gestion de l'énergie et électronique de puissance|Conception assistée par ordinateur (AutoCAD)",Ingénieur en maintenance industrielle|Responsable de production|Ingénieur en automatisme et robotique|Concepteur de systèmes IoT industriels,Passerelle vers ESIIA
Génie Industriel,ICMP,"Industries Chimiques, Minières et Pétrolières",Licence (Bac+3)|Master (Bac+5),"Baccalauréat C, D, S",Chimie Minérale|Mines|Géodynamique Minière|Atomistique|Dessin|AUTOCAD|Chimie Organique|Petrochimie|Thermochimie|Chimie industrielle|Metallurgie|Thermophysique|Electricité Industrielle|Resistance des matériaux|Chimie minerale|Petrologie|Cartographie|Géometrie analytique|Géologie de Madagascar|Chimie industrielle|Metallurgie|Science et technique petrolières|Elasticité et plasticité|Chimie analytique|Technologie des materiaux|Mine avancée|Chimie analytique|Mécanique des fluides|Chimie verte|Droit minier|Ressources minieres|Management|Physique nucléaire|Technologie des matériaux,Gestion des procédés chimiques et industriels|Exploitation et gestion des ressources minières|Analyse et raffinage pétrolier|Conformité réglementaire et droit minier,Ingénieur minier|Ingénieur pétrolier (raffinage/forage)|Ingénieur en génie des procédés|Responsable HSE,Passerelle vers IAA
Génie Civil et Architecture,GCA,Génie Civil et Architecture,Licence (Bac+3)|Master (Bac+5),"Baccalauréat C, D, S, Tech (F4)",Géologie Appliquée|Technologie des bâtiments|Métré|Dessin|Hydraulique|Topographie|Route|Electricité des batiments|Mécanique des sols|Assainissement|Résistance des matériaux|Technique des batiments|Constructions Métalliques|Hydraulique routière|Thermodynamique|AUTOCAD|Mécanique des sols|Geometrie Analytique|Mecanique analytique|ARCHICAD|Architecture|Géotechnie|Elasticité et plasticité|Hydrologie|Aménagement aéroportuaire|Ossatures bois|Aménagement hydrogricole|Metier des batiments|Fondation|Maintenance des bâtiments|Acoustique|Mécanique des fluides|Elements finis|Amenagement portuaire|Gestion de chantier|Amenagement hydroagricole|Port|Management|Calcul des structures,Conception architecturale et dessin technique (AutoCAD/ArchiCAD)|Dimensionnement et calcul de structures (RDM/Génie Civil)|Gestion et conduite de chantiers BTP|Ingénierie routière et hydraulique,Ingénieur en Bureau d'Études (Structure)|Architecte junior|Conducteur de travaux|Urbaniste|Entrepreneur en BTP,N/A
Biotechnologie et Agronomie,IAA,Industries Agroalimentaires,Licence (Bac+3)|Master (Bac+5),"Baccalauréat C, D, S",Biochimie|Virologie|Bactériologie|Génétique|Physiologie Animale|Physiologie Vegetale|Enzymologie|Biotechnologie|Biologie Animale|Biologie Cellulaire|Biologie Vegetale|Génétique|Atomistique|Chimie organique|Physiologie animale|Biologie cellulaire|Biologie végétale|Microbiologie|Biochimie|Technologie des pectines|Etude d'impact environnemental|Génie industriel alimentaire|emballage alimentaire|technologie et transformation du café et cacao|Management|Securité alimentaire|Technologie des proteines|Additifs alimentaires|Toxicologie alimentaire|Matieres grasses|Viandes|Sucre|Chimie analytique|Bio-informatique|Fruits et légumes|Biochimie alimentaire|Nutrition humaine|Additifs alimentaires|Chimie organique|Elevage|Science des aliments|Thermo physique|Genie fermentaire|Traitement des eaux|Microbiologie alimentaire|Lait|Securité alimentaire,Maîtrise des procédés de transformation agroalimentaire|Gestion de la sécurité sanitaire (HACCP)|Analyse biochimique et microbiologique des aliments|Formulation de nouveaux produits alimentaires,Ingénieur de production agroalimentaire|Responsable Qualité HACCP|Chargé de R&D alimentaire|Gestionnaire d'unités de transformation,Passerelle vers PIP
Biotechnologie et Agronomie,AEE,Agriculture et Élevage,Licence (Bac+3)|Master (Bac+5),"Baccalauréat C, D, S, A2 (selon profil)",Biochimie|Virologie|Bactériologie|Génétique|Physiologie Animale|Physiologie Vegetale|Enzymologie|Biotechnologie|Biologie Animale|Biologie Cellulaire|Biologie Vegetale|Génétique|Atomistique|Chimie organique|Physiologie animale|Biologie cellulaire|Biologie végétale|Microbiologie|Biochimie|Nutrition animale|Developpement rural|Hydrobiologie|Agronomie|Immunologie|Zootechnie|Traitement des eaux|Chimie organique|Physiologie Animale|Securité alimentaire|Agronomie tropicale|Pisciculture|Culture industrielle|Petits ruminants|Culture des plantes|Serriculture|Experimentation biometrique|Aviculture|Apiculture|Hydrologie appliquée|Bio-informatique|Culture vivrière|Agroecologie|Vulgarisation agricole et animation rurale|Methodologie des recherches experimentales|Agriculture biologique|Arboriculture fruitiere|Protection intégrée des cultures et denrées|Crevetticulture|Culture de rentes|Elevage|Management|Securité alimentaire,Conduite de productions végétales et animales|Gestion de projets de développement rural|Mise en uvre de pratiques agroécologiques et biologiques|Optimisation des rendements et gestion des sols,Gestionnaire d'exploitation agricole|Conseiller agricole|Responsable de projet développement rural|Expert en agri-business,Passerelle vers IAA
Biotechnologie et Agronomie,PIP,Pharmacologie et Industries Pharmaceutiques,Licence (Bac+3)|Master (Bac+5),"Baccalauréat C, D, S",Ethnopharmacologie|Methodologie des recherches experimentales|Virologie medicale|Industrie pharmaceutique|Pharmacocinétique|Chimie analytique|Management|Pharmacologie moléculaire et cellulaire|Physiopathologie|phytochimie|Bactériologie medicale|Immunopathologie|Sémiologie|Immuno clinique|Phytochimie|Pharmacologie des grandes fonctions|Pharmacocinétique|Bio-Informatique|Pharmacotechnie|Plantes médicales|Toxicologie Générale|Physiopathologie|Pharmacologie moléculaire|Anatomie et physiologie humaine|Thermo physique|Immunologie|Physiologie médicale|physiologie nutritionnelle|Traitement des eaux|Pharmacologie|Microbiologie médicale|Pharmacologie generale|Biochimie médicale|Biochimie|Virologie|Bactériologie|Génétique|Physiologie Animale|Physiologie Vegetale|Enzymologie|Biotechnologie|Biologie Animale|Biologie Cellulaire|Biologie Vegetale|Génétique|Atomistique|Chimie organique|Physiologie animale|Biologie cellulaire|Biologie végétale|Microbiologie|Biochimie,Formulation et fabrication de médicaments|Analyse phytochimique et ethnopharmacologique|Contrôle qualité et réglementation pharmaceutique|Études pharmacocinétiques et physiopathologiques,Responsable de production pharmaceutique|Ingénieur formulation|Spécialiste valorisation plantes médicinales|Technicien de laboratoire médical,Passerelle vers ICMP
