source,relation,target
Etudiant_P00278,prefere,Matiere_Philosophie
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Mecanique_Generale
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Management
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Intelligence_Artificielle
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,prepareA,Metier_Data_Scientist_Data_Analyst
Parcours_Tourisme_et_Environnement,necessite,Prerequis_Baccalaureat_serie_C
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Recherche_Operationnelle
Parcours_Industries_Chimiques_Minieres_et_Petrolieres,prepareA,Metier_Responsable_HSE_Hygiene_Securite_Environnement_industriel
Parcours_Industries_Agroalimentaires,necessite,Prerequis_Baccalaureat_serie_S
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Chimie_analytique
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,prepareA,Metier_Juriste_specialise_Foncier_Minier_Douanes
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Analyse_financiere
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Gestion_de_projet
Etudiant_P01225,aSerieBac,Prerequis_Baccalaureat_serie_TPFM
Etudiant_P01296,prefere,Matiere_Economie
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_UI_UX
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,necessite,Prerequis_Technique_industrielle
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Algorithme_Avance
Parcours_Commerce_et_Administration_des_Affaires,prepareA,Metier_Gestionnaire_administratif_et_financier
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,prepareA,Metier_Assistant_juridique_en_cabinet_d_avocats_ou_d_huissiers
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Biologie_Animale
Parcours_Finances_et_Comptabilite,prepareA,Metier_Comptable_Chef_Comptable_Expert_comptable_after_stage
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Vibration
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,enseigne,Matiere_Droit_de_la_concurrence
Parcours_Informatique_de_Gestion_Genie_Logiciel_et_Intelligence_Artificielle,enseigne,Matiere_Java
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_C
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Economie_bleu
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Vulgarisation_agricole_et_animation_rurale
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Physiologie_Vegetale
Parcours_Tourisme_et_Environnement,developpe,Competence_Connaissance_du_patrimoine_environnemental_et_culturel_malgache
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Technique_des_batiments
Parcours_Tourisme_et_Environnement,necessite,Prerequis_Technique_genie_civil_BTP
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Pharmacologie_des_grandes_fonctions
Etudiant_P00410,possede,Competence_curiosite
Etudiant_P01139,prefere,Matiere_SVT
Competence_Agroecologie_Agriculture_Bio,estRequisePour,Metier_Consultant_environnemental
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_AUTOCAD
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Genetique
Parcours_Commerce_et_Administration_des_Affaires,developpe,Competence_Analyse_des_marches_et_economie_monetaire_internationale
Etudiant_P00464,possede,Competence_esprit_d_equipe
Parcours_Industries_Agroalimentaires,prepareA,Metier_Charge_de_Recherche_et_Developpement_R_D_alimentaire
Parcours_Industries_Agroalimentaires,enseigne,Matiere_Lait
Etudiant_P01127,prefere,Matiere_Malgache
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,necessite,Prerequis_Baccalaureat_serie_C
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,provientDeSource,Source_ISPM_Conditions_d_acces_en_premiere_annee
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Apiculture
Parcours_Tourisme_et_Environnement,developpe,Competence_Sensibilisation_au_tourisme_durable
Etudiant_P00630,possede,Competence_sens_de_l_observation
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,necessite,Prerequis_Baccalaureat_serie_D
Etudiant_P01592,prefere,Matiere_Anglais
Parcours_Genie_Civil_et_Architecture,provientDeSource,Source_ISPM_Conditions_d_acces_en_premiere_annee
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_GLCIA
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Resistance_des_materiaux
Etudiant_P01160,possede,Competence_autonomie
Competence_Suivi_evaluation,estRequisePour,Metier_Responsable_suivi_evaluation
Parcours_Genie_Civil_et_Architecture,necessite,Prerequis_Baccalaureat_serie_D
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Elevage
Parcours_Droit_et_Techniques_Juridiques_des_Affaires,enseigne,Matiere_Contrat_d_entreprise
Etudiant_P01160,possede,Competence_perseverance
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Bio_informatique
Etudiant_P00218,aSerieBac,Prerequis_Baccalaureat_serie_S
Etudiant_P00156,possede,Competence_curiosite
Parcours_Industries_Agroalimentaires,developpe,Competence_Gestion_de_la_production_industrielle_et_emballage_alimentaire
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Gestion_de_projet_de_developpement
Parcours_Informatique_Multimedia_Technologie_de_l_Information_et_de_la_Communication_et_I,enseigne,Matiere_Management
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Neuro_marketing
Etudiant_P01348,prefere,Matiere_Mathematiques
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Aeronautique
Parcours_Genie_Civil_et_Architecture,developpe,Competence_Gestion_technique_et_administrative_de_chantiers_BTP
Parcours_Genie_Civil_et_Architecture,enseigne,Matiere_Mecanique_des_sols
Parcours_Economie_et_Management_de_Projet,prepareA,Metier_Responsable_de_projet_de_developpement_ONG_International
Competence_Thermodynamique_Froid,estRequisePour,Metier_Expert_en_genie_climatique_industriel
Etudiant_P00975,prefere,Matiere_Malgache
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,necessite,Prerequis_Baccalaureat_serie_S
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Thermo_physique
Parcours_Finances_et_Comptabilite,enseigne,Matiere_Macroeconomie
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,necessite,Prerequis_Baccalaureat_serie_S
Parcours_Economie_et_Management_de_Projet,prepareA,Metier_Consultant_en_management_et_developpement
Etudiant_P01185,aSerieBac,Prerequis_Baccalaureat_serie_DAMB
Parcours_Informatique_Statistique_Appliquee_et_Intelligence_Artificielle,enseigne,Matiere_Recherche_Operationnelle
Parcours_Commerce_et_Administration_des_Affaires,provientDeSource,Source_ISPM_Conditions_d_acces_en_premiere_annee
Etudiant_P00305,estOrienteVers,Parcours_Commerce_et_Administration_des_Affaires
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Cryptographie
Parcours_Electromecanique_et_Informatique_Industrielle,enseigne,Matiere_Fabrication_Mecanique
Competence_Genie_des_procedes_Chimie,estRequisePour,Metier_Ingenieur_Chimiste
Etudiant_P00433,possede,Competence_sens_de_l_organisation
Parcours_Genie_Civil_et_Architecture,developpe,Competence_Expertise_en_geotechnique_et_mecanique_des_sols
Parcours_Electronique_Systemes_Informatiques_et_Intelligence_Artificielle,enseigne,Matiere_Langage_C
Parcours_Commerce_et_Administration_des_Affaires,enseigne,Matiere_Organisation
Etudiant_P00630,aCentreInteret,Interet_Gestion
Parcours_Agriculture_et_Elevage,enseigne,Matiere_Immunologie
Competence_Comptabilite_financiere,estRequisePour,Metier_Chef_Comptable
Parcours_Commerce_et_Administration_des_Affaires,developpe,Competence_Gestion_administrative_organisationnelle_et_management_d_entreprise
Parcours_Industries_Agroalimentaires,prepareA,Metier_Responsable_logistique_de_denrees_perissables
Parcours_Pharmacologie_et_Industries_Pharmaceutiques,enseigne,Matiere_Physiologie_animale
