profil_id,age,sexe,region,serie_bac,moyenne_generale,note_mathematiques,note_physique_chimie,note_svt,note_francais,note_malgache,note_anglais,note_histoire_geo,note_philosophie,note_economie,note_informatique,note_arts,note_eps,matieres_preferees,competences_declarees,centres_interet,activites_projets,preferences_professionnelles,environnement_travail_recherche,mention_recommandee,parcours_recommande,parcours_recommande_nom,profil_ambigu,parcours_alternatif_plausible
P00001,19,F,Anosy,D,12.07,13.6,14.0,14.2,11.8,11.9,13.0,12.7,10.6,10.9,11.6,9.8,10.7,Anglais; Physique_Chimie; SVT,raffinage et pétrochimie; aisance relationnelle; persévérance,Électronique; Bénévolat associatif,a démonté et réparé des appareils électroménagers ou mécaniques par curiosité,Responsable contrôle qualité; Chercheur en phyto-médicaments,Terrain/Extérieur,Biotechnologie et Agronomie,PIP,Pharmacologie et Industries Pharmaceutiques,True,ICMP
P00002,18,F,Ihorombe,OSE,12.58,15.5,11.5,9.8,13.4,13.3,13.8,12.4,10.5,16.3,12.0,11.3,11.2,Anglais; Economie; Mathematiques,curiosité; analyse économique et économétrie; aisance relationnelle,Gestion,a participé à un club de débat ou un simulacre de procès au lycée; gère les comptes d'une association d'élèves; a occupé un petit job ou une activité rémunérée pendant les vacances,Analyste économique; Consultant en management; avoir un poste à responsabilités,Contact clientèle/Relationnel,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,False,
P00003,17,F,Vatovavy,A1,7.71,13.0,8.2,8.4,7.2,4.1,7.6,8.8,6.2,9.2,5.5,8.4,5.9,Arts; Economie; Histoire_Geo; Mathematiques; SVT,sens de l'observation; pilotage et planification de projets; rigueur; management stratégique; esprit d'analyse,Entrepreneuriat; Musique,gère les comptes d'une association d'élèves; pratique un sport en club depuis plusieurs années,Consultant en management; Analyste économique; avoir un poste à responsabilités,Bureau/Numérique,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,False,
P00004,19,M,Vatovavy,Technique,11.78,12.0,9.3,13.0,13.0,10.7,11.4,12.9,10.7,12.2,13.6,11.7,10.8,Economie; Francais; Histoire_Geo; Informatique; SVT,aisance relationnelle; développement full-stack; rigueur,Technologie; Sport,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel,Ingénieur en génie logiciel; Chef de projet informatique; contribuer au développement de Madagascar,Bureau/Numérique,Informatique et Télécommunications,IGGLIA,"Informatique de Gestion, Génie Logiciel et Intelligence Artificielle",False,
P00005,17,F,Atsimo-Andrefana,D,10.82,10.7,10.7,14.4,12.0,11.4,9.2,11.4,10.5,9.8,8.9,8.4,12.4,EPS; Francais; SVT,transformation agroalimentaire; esprit d'équipe; sens de l'organisation; sécurité alimentaire,Agriculture; Bénévolat associatif,aide régulièrement dans l'exploitation agricole familiale; s'occupe d'un petit élevage ou d'un jardin potager,Chef de production; contribuer au développement de Madagascar,Terrain/Extérieur,Biotechnologie et Agronomie,IAA,Industries Agroalimentaires,False,
P00006,20,F,Amoron'i Mania,A1,13.08,11.9,10.4,13.2,13.5,13.7,12.8,14.8,16.2,12.7,12.2,12.5,13.1,Arts; Histoire_Geo; Malgache,persévérance; droit foncier et minier; créativité,Débat et droit,gère les comptes d'une association d'élèves; a organisé une petite activité commerciale ou un projet associatif,Responsable des ressources humaines (volet juridique); Assistant juridique,Contact clientèle/Relationnel,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,False,
P00007,17,M,Vatovavy,S,15.0,17.4,16.6,14.0,12.6,13.9,15.2,15.3,15.3,14.8,13.9,17.9,13.1,EPS; Histoire_Geo; Mathematiques; Physique_Chimie,sens de l'organisation; calcul de structures (RDM); gestion de chantier; créativité; aisance relationnelle; géotechnique; persévérance,Urbanisme,a réalisé des maquettes ou des plans de construction pour un projet scolaire; pratique un sport en club depuis plusieurs années,Architecte junior; Urbaniste,Chantier/BTP,Génie Civil et Architecture,GCA,Génie Civil et Architecture,False,
P00008,20,F,Atsimo-Atsinanana,D,11.71,12.0,9.3,15.5,11.7,9.9,14.0,13.9,8.2,12.9,10.4,11.0,11.7,Anglais; Economie; Histoire_Geo; SVT,zootechnie et pisciculture; développement rural; curiosité; sens de l'organisation; rigueur; agroécologie et agriculture biologique; autonomie,Agriculture; Musique,a réalisé un exposé scolaire sur la santé ou la biologie; aide régulièrement dans l'exploitation agricole familiale,Responsable de projet développement rural; Responsable de production animale,Terrain/Extérieur,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,True,IAA
P00009,18,M,Haute Matsiatra,L,13.91,14.8,18.3,14.0,12.9,11.7,11.6,11.9,11.6,14.3,14.0,15.4,16.4,Arts; EPS; Economie; Mathematiques; Physique_Chimie,créativité; aisance relationnelle; conception assistée par ordinateur (AutoCAD); sens de l'observation; curiosité,Électronique; Automobile et aéronautique; Sport,a suivi un tutoriel en ligne de programmation et créé un petit site web personnel; a participé à un club de robotique ou de modélisme; a occupé un petit job ou une activité rémunérée pendant les vacances,Ingénieur en automatisation et robotique industrielle; Ingénieur en bureau d'études mécanique,Bureau/Numérique,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,True,ESIIA
P00010,17,M,Haute Matsiatra,OSE,12.71,12.9,10.5,10.5,9.8,14.6,13.6,12.7,12.8,15.8,10.8,15.7,12.8,Arts; Economie; Malgache,esprit d'analyse; rigueur; analyse économique et économétrie; management stratégique,Gestion; Réseaux sociaux,a organisé une petite activité commerciale ou un projet associatif; participe à des activités associatives ou de bénévolat,Responsable suivi-évaluation de projets; Planificateur stratégique,Contact clientèle/Relationnel,Droit et Techniques des Affaires,EMP,Économie et Management de Projet,False,
P00011,18,F,Analamanga,L,12.08,12.5,9.8,9.5,12.3,13.1,11.3,14.0,14.1,12.6,10.6,13.1,12.1,Arts; Economie; Histoire_Geo; Malgache; Philosophie,rigueur; curiosité; rédaction d'actes juridiques; persévérance,Débat et droit; Gestion; Réseaux sociaux,s'intéresse à l'actualité économique et suit des chaînes d'information; participe à des activités associatives ou de bénévolat,Juriste d'affaires; Expert en contentieux d'affaires; contribuer au développement de Madagascar,Bureau/Numérique,Droit et Techniques des Affaires,DTJA,Droit et Techniques Juridiques des Affaires,False,
P00012,20,M,Haute Matsiatra,C,12.81,12.4,11.9,10.8,11.4,14.0,13.4,13.2,11.9,16.5,13.9,11.3,13.0,Anglais; Informatique; Malgache,créativité; persévérance; autonomie; rigueur; comptabilité générale et analytique,Économie; Entrepreneuriat; Lecture,a participé à un club de débat ou un simulacre de procès au lycée; gère les comptes d'une association d'élèves,Directeur Administratif et Financier,Bureau/Numérique,Droit et Techniques des Affaires,FIC,Finances et Comptabilité,False,
P00013,20,M,Analamanga,S,13.52,12.3,14.1,16.8,10.8,11.6,13.2,17.4,12.4,16.3,14.0,10.6,12.7,Economie; Histoire_Geo; SVT,productions végétales et animales; curiosité; esprit d'analyse; esprit d'équipe; développement rural,Animaux; Santé; Musique,a réalisé un exposé scolaire sur la santé ou la biologie,Expert en agri-business,Terrain/Extérieur,Biotechnologie et Agronomie,AEE,Agriculture et Élevage,False,
P00014,20,M,Ihorombe,C,12.47,13.9,17.9,9.6,13.9,10.9,10.1,14.9,11.5,13.3,13.5,8.7,11.4,Francais; Malgache; Mathematiques; Physique_Chimie,robotique et domotique; persévérance; systèmes embarqués et IoT; sens de l'organisation; curiosité; maintenance hardware et microcontrôleurs; aisance relationnelle,Industrie; Bricolage,a participé à un club de robotique ou de modélisme; a participé à un club informatique ou de robotique au lycée,Ingénieur en électrotechnique; contribuer au développement de Madagascar,Bureau/Numérique,Génie Industriel,EMII,Électromécanique et Informatique Industrielle,True,ESIIA
